,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额.1,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
98,上元臻智,2026,8,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
99,上元臻智,2026,9,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
100,上元臻智,2026,10,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
101,上元臻智,2026,11,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,65700,
102,上元臻智,2026,12,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,106148,
103,合计,,,0,24,,0,0,0,17,0,14,0,0,3600,0,0,0,0,-3600,9600,-13200,,171848,7160.33333333333
104,,,,,,,,,,,,,,,,,,,,,,,,,
105,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
106,上元弘川,2026,1,,61,,0,0,0,59,0,8,0,0,9150,,,,,-9150,24400,-33550,,0,0
107,上元弘川,2026,2,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
108,上元弘川,2026,3,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
109,上元弘川,2026,4,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
110,上元弘川,2026,5,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
111,上元弘川,2026,6,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
112,上元弘川,2026,7,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
113,上元弘川,2026,8,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
114,上元弘川,2026,9,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
115,上元弘川,2026,10,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
116,上元弘川,2026,11,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,59726,
117,上元弘川,2026,12,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,130162.6,
118,合计,,,0,61,,0,0,0,59,0,8,0,0,9150,0,0,0,0,-9150,24400,-33550,,189888.6,3112.92786885246
119,,,,,,,,,,,,,,,,,,,,,,,,,
120,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
121,上元臻盛,2026,1,,29,,0,0,0,25,0,13,0,0,4350,,,,,-4350,11600,-15950,,0,0
122,上元臻盛,2026,2,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
123,上元臻盛,2026,3,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
124,上元臻盛,2026,4,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
125,上元臻盛,2026,5,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
126,上元臻盛,2026,6,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
127,上元臻盛,2026,7,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
128,上元臻盛,2026,8,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
129,上元臻盛,2026,9,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
130,上元臻盛,2026,10,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
131,上元臻盛,2026,11,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,47977,
132,上元臻盛,2026,12,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,96588,
133,合计,,,0,29,,0,0,0,25,0,13,0,0,4350,0,0,0,0,-4350,11600,-15950,,144565,4985
134,,,,,,,,,,,,,,,,,,,,,,,,,
135,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
136,上元星汉,2026,1,,24,,0,0,0,24,0,3,0,0,3600,,,,,-3600,9600,-13200,,0,0
137,上元星汉,2026,2,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
138,上元星汉,2026,3,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
139,上元星汉,2026,4,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
140,上元星汉,2026,5,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
141,上元星汉,2026,6,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
142,上元星汉,2026,7,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
143,上元星汉,2026,8,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
144,上元星汉,2026,9,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
145,上元星汉,2026,10,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
146,上元星汉,2026,11,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,22138,
147,上元星汉,2026,12,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,51298.5,
148,合计,,,0,24,,0,0,0,24,0,3,0,0,3600,0,0,0,0,-3600,9600,-13200,,73436.5,3059.85416666667
149,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,
