,公司名称,月份,得分,折让系数
147,新港澜轩,2025年4月,87.43,0.87
148,新港澜轩,2025年5月,93.7,1.0
149,新港澜轩,2025年6月,89.66,0.9
150,新港澜轩,2025年7月,93.87,1.0
151,新港澜轩,2025年8月,95.53,1.0
152,新港澜轩,2025年9月,90.27,1.0
153,新港澜轩,2025年10月,86.91,0.87
154,新港澜轩,2025年11月,91.08,1.0
155,新港澜轩,2025年12月,83.27,0.83
156,新港澜阔,2025年1月,78.92,0.79
157,新港澜阔,2025年2月,77.36,0.77
158,新港澜阔,2025年3月,66.27,0.0
159,新港澜阔,2025年4月,72.94,0.73
160,新港澜阔,2025年5月,76.1,0.76
161,新港澜阔,2025年6月,72.79,0.73
162,新港澜阔,2025年7月,76.68,0.77
163,新港澜阔,2025年8月,71.41,0.71
164,新港澜阔,2025年9月,83.71,0.84
165,新港澜阔,2025年10月,71.6,0.72
166,新港澜阔,2025年11月,87.98,0.88
167,新港澜阔,2025年12月,67.2,0.0
168,新茂元大,2025年1月,92.87,1.0
169,新茂元大,2025年2月,91.38,1.0
170,新茂元大,2025年3月,95.69,1.0
171,新茂元大,2025年4月,89.91,0.9
172,新茂元大,2025年5月,92.21,1.0
173,新茂元大,2025年6月,81.1,0.81
174,新茂元大,2025年7月,88.3,0.88
175,新茂元大,2025年8月,87.85,0.88
176,新茂元大,2025年9月,92.6,1.0
177,新茂元大,2025年10月,87.8,0.88
178,新茂元大,2025年11月,95.01,1.0
179,新茂元大,2025年12月,92.72,1.0
180,洪武盛世,2025年1月,83.7,0.9
181,洪武盛世,2025年2月,69.46,0.0
182,洪武盛世,2025年3月,85.47,0.9
183,洪武盛世,2025年4月,80.02,0.9
184,洪武盛世,2025年5月,79.68,0.7
185,洪武盛世,2025年6月,89.01,0.9
186,洪武盛世,2025年7月,94.63,1.0
187,洪武盛世,2025年8月,85.3,0.9
188,洪武盛世,2025年9月,75.5,0.7
189,洪武盛世,2025年10月,82.95,0.9
190,洪武盛世,2025年11月,74.35,0.7
191,洪武盛世,2025年12月,81.57,0.9
192,贵州新港浩蓝,2025年1月,82.33,0.82
193,贵州新港浩蓝,2025年2月,80.54,0.81
194,贵州新港浩蓝,2025年3月,88.02,0.88
195,贵州新港浩蓝,2025年4月,67.88,0.0
196,贵州新港浩蓝,2025年5月,86.53,0.87
197,贵州新港浩蓝,2025年6月,94.3,1.0
198,贵州新港浩蓝,2025年7月,95.91,1.0
199,贵州新港浩蓝,2025年8月,96.75,1.0
200,贵州新港浩蓝,2025年9月,78.53,0.79
201,贵州新港浩蓝,2025年10月,90.29,1.0
202,贵州新港浩蓝,2025年11月,85.29,0.85
203,贵州新港浩蓝,2025年12月,92.18,1.0
204,贵州新港海之辇,2025年1月,72.96,0.73
205,贵州新港海之辇,2025年2月,83.66,0.84
206,贵州新港海之辇,2025年3月,76.31,0.76
